model,variant,training,rouge1,rouge2,rougeL,n_samples,best_epoch,train_min
facebook/bart-base,—,zero-shot,27.3393,8.8694,19.8903,100,—,—
google/pegasus-cnn_dailymail,—,zero-shot,1.85,0.0,1.6,100,—,—
t5-small,—,zero-shot,27.6004,7.6326,22.1884,100,—,—
facebook/bart-base,lora,fine-tuned,45.1469,21.2043,37.5859,819,5.0,54.69
facebook/bart-base,no_speakers,fine-tuned,38.95,19.1742,33.2342,819,5.0,63.59
facebook/bart-base,with_speakers,fine-tuned,47.8631,23.2175,39.8524,819,5.0,72.4
t5-small,with_speakers,fine-tuned,38.956,15.9568,31.9491,819,2.0,35.06
